Date,Added,Added,Removed,Removed,Reason
Date,Ticker,Security,Ticker,Security,Reason
"June 22, 2020",BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.[6]
"June 22, 2020",TDY,Teledyne Technologies,HOG,Harley-Davidson,Market capitalization change.[6]
"June 22, 2020",TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.[6]
"May 22, 2020",WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.[7]
"May 12, 2020",DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.[8]
"May 12, 2020",DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.[8]
"April 6, 2020",,,M,"Macy's, Inc.",Market capitalization change.[9]
"April 6, 2020",,,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
"April 3, 2020",OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
"April 3, 2020",CARR,Carrier Global,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
"March 3, 2020",GDI,Gardner Denver,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand plc's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc. and later changed the ticker to IR.[10]"
"January 28, 2020",PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[11]
"December 23, 2019",LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.[12]
"December 23, 2019",ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.[12]
"December 23, 2019",STE,STERIS plc,MAC,Macerich,Market capitalization change.[12]
"December 9, 2019",ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[13]
"December 5, 2019",WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[14]
"November 21, 2019",NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb Co. (NYSE:BMY) acquired Celgene.[15]
"October 3, 2019",LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market Cap changes[16]
"September 26, 2019",NVR,NVR Inc,JEF,Jefferies Financial Group Inc,JEF spun off SPB.[17]
"September 23, 2019",CDW,CDW,TSS,TSYS,S&P 500 constituent Global Payments Inc. (NYSE: GPN) acquired TSS.[18]
