,timestamp,prices,market_caps,total_volumes
0,1677646832010,23784.042799879942,459202173989.75366,28452261898.94691
1,1677650502877,23691.414512124713,456943471673.35004,29024626602.56403
2,1677654106953,23777.49665207094,457235818598.6369,29966679745.659904
3,1677657665901,23709.915797916765,458228835459.4792,30047775002.368248
4,1677661329245,23829.946743900706,460431241240.21356,30291858965.901867
5,1677664821041,23778.152542468997,458632492490.4733,31250548386.984806
6,1677668410871,23799.188758891083,458142756359.3518,31765936779.23523
7,1677672116253,23728.16064979413,458197428968.5267,31917094313.96983
8,1677675652924,23735.748910827864,458848831810.0145,31526206364.069946
9,1677679272004,23696.081721592756,457164758742.9259,31907064600.93484
10,1677682803524,23796.06510462297,459303399272.23364,32010336331.93695
11,1677686452521,23726.2506975257,457647659650.8439,32301656674.57875
12,1677690126486,23665.59155956524,456897808549.7148,32481149439.13058
13,1677693664809,23712.71782096267,458079816114.1299,32729445886.834446
14,1677697273388,23682.52545294416,456881084846.7289,32612194672.6931
15,1677700912086,23556.225693504046,455449765556.98315,32472661486.87413
16,1677704504133,23427.883714031843,452198285215.3613,33129633282.08202
17,1677708026131,23576.425430335858,455179125517.27527,32400924215.71923
18,1677711698443,23504.747683174395,453782751644.2168,32496878970.338852
19,1677715324609,23634.333489123786,456417315966.7193,32507897259.084335
20,1677718915033,23663.12537721522,456880714185.5616,32746288097.8661
21,1677722519645,23519.00841198621,454052171514.6383,32649164091.985195
22,1677726169216,23493.811912342382,453564484636.1083,32701501837.951027
23,1677729619423,23506.48966274534,453604764863.3512,31953849961.226616
24,1677737628256,23428.364922512046,452189722701.2137,30415110346.53416
25,1677738534489,23438.2953781779,452227952523.01385,30457426528.06973
26,1677740448376,23455.193198202353,452846854644.6454,30339546989.293472
27,1677744083296,23393.49886298945,451400920563.08826,30242220187.179916
28,1677747613955,23449.933923364155,452722501429.88654,30143395539.687286
29,1677751339334,23429.430046442114,452456324344.83997,28985458649.841694
30,1677754888082,23412.569662781654,452026514927.33923,28927077633.787727
31,1677758443930,23423.026552982563,452044834286.3393,28783876515.629963
32,1677762035957,23349.073024716425,450791774445.6034,28747883491.57864
33,1677765724491,23335.594101318686,451070878359.8358,29238330112.419502
34,1677769321909,23302.64712467313,449537165794.0954,29863807205.42284
35,1677772920365,23330.35049835348,450419938491.8347,29015572197.82458
36,1677776407748,23283.76528293185,449662112142.1996,28533729419.77806
37,1677780118967,23279.37122891428,449716820631.2678,28378471210.95808
38,1677783719814,23397.205230397754,451683221048.26215,28649957475.806465
39,1677787311776,23473.5347574165,452956270670.74756,28765505143.931076
40,1677790857762,23539.61281971209,454446286463.6021,28085752693.746613
41,1677794423086,23447.605445168498,452688404262.09766,27838798101.2141
42,1677798029750,23515.128732237215,453987880972.6525,27551176261.845695
43,1677801776284,23469.231618829668,453098857183.146,27467409546.82412
44,1677805330436,23435.63929517383,452473285205.5093,26955939948.870686
45,1677808894389,22259.675591254836,432367768896.64044,29692023719.93433
46,1677812521023,22379.1459397478,431982808533.07245,32757279458.71562
47,1677816129758,22370.707926324667,432165076296.7246,33445810914.925808
48,1677819722676,22391.647510563194,431985048414.8578,34039537580.430958
