timestamp,currency_pair,exchange_id,bid_size_l1,ask_size_l1,bid_price_l1,ask_price_l1,end_download_timestamp,knowledge_timestamp
1709005505614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:05.614000+00:00,2024-02-27 03:45:05.614000+00:00
1709005506114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:06.114000+00:00,2024-02-27 03:45:06.114000+00:00
1709005506614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:06.614000+00:00,2024-02-27 03:45:06.614000+00:00
1709005507114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:07.114000+00:00,2024-02-27 03:45:07.114000+00:00
1709005507614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:07.614000+00:00,2024-02-27 03:45:07.614000+00:00
1709005508114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:08.114000+00:00,2024-02-27 03:45:08.114000+00:00
1709005508614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:08.614000+00:00,2024-02-27 03:45:08.614000+00:00
1709005509114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:09.114000+00:00,2024-02-27 03:45:09.114000+00:00
1709005509614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:09.614000+00:00,2024-02-27 03:45:09.614000+00:00
1709005510114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:10.114000+00:00,2024-02-27 03:45:10.114000+00:00
1709005510614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:10.614000+00:00,2024-02-27 03:45:10.614000+00:00
1709005511114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:11.114000+00:00,2024-02-27 03:45:11.114000+00:00
1709005511614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:11.614000+00:00,2024-02-27 03:45:11.614000+00:00
1709005512114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:12.114000+00:00,2024-02-27 03:45:12.114000+00:00
1709005512614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:12.614000+00:00,2024-02-27 03:45:12.614000+00:00
1709005513114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:13.114000+00:00,2024-02-27 03:45:13.114000+00:00
1709005513614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:13.614000+00:00,2024-02-27 03:45:13.614000+00:00
1709005514114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:14.114000+00:00,2024-02-27 03:45:14.114000+00:00
1709005514614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:14.614000+00:00,2024-02-27 03:45:14.614000+00:00
1709005515114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:15.114000+00:00,2024-02-27 03:45:15.114000+00:00
1709005515614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:15.614000+00:00,2024-02-27 03:45:15.614000+00:00
1709005516114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:16.114000+00:00,2024-02-27 03:45:16.114000+00:00
1709005516614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:16.614000+00:00,2024-02-27 03:45:16.614000+00:00
1709005517114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:17.114000+00:00,2024-02-27 03:45:17.114000+00:00
1709005517614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:17.614000+00:00,2024-02-27 03:45:17.614000+00:00
1709005518114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:18.114000+00:00,2024-02-27 03:45:18.114000+00:00
1709005518614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:18.614000+00:00,2024-02-27 03:45:18.614000+00:00
1709005519114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:19.114000+00:00,2024-02-27 03:45:19.114000+00:00
1709005519614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:19.614000+00:00,2024-02-27 03:45:19.614000+00:00
1709005520114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:20.114000+00:00,2024-02-27 03:45:20.114000+00:00
1709005520614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:20.614000+00:00,2024-02-27 03:45:20.614000+00:00
1709005521114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:21.114000+00:00,2024-02-27 03:45:21.114000+00:00
1709005521614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:21.614000+00:00,2024-02-27 03:45:21.614000+00:00
1709005522114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:22.114000+00:00,2024-02-27 03:45:22.114000+00:00
1709005522614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:22.614000+00:00,2024-02-27 03:45:22.614000+00:00
1709005523114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:23.114000+00:00,2024-02-27 03:45:23.114000+00:00
1709005523614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:23.614000+00:00,2024-02-27 03:45:23.614000+00:00
1709005524114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:24.114000+00:00,2024-02-27 03:45:24.114000+00:00
1709005524614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:24.614000+00:00,2024-02-27 03:45:24.614000+00:00
1709005525114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:25.114000+00:00,2024-02-27 03:45:25.114000+00:00
1709005525614,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:25.614000+00:00,2024-02-27 03:45:25.614000+00:00
1709005526114,ETH_USDT,binance,22,25,31,10,2024-02-27 03:45:26.114000+00:00,2024-02-27 03:45:26.114000+00:00
