tradeindex,trades,buyamount,sellamount,tradeamount,timeinterval_minute,block_timestamp_time,block_height,exchange_fullname,basecurrency_symbol,quotecurrency_symbol,transaction_hash,transaction_gas,transaction_to_address,transaction_txfrom_address
3,1,782.9219408698332,779.3835695628964,779.3835695628964,2023-05-11 19:06:00,2023-05-11 19:06:11,17239059,Uniswap,DAI,ETH,0x8aa52fbf80fd05c22bd59844e2b7b8d8ee84195c85718c648e53c4515ea0f354,221977,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x993d8b9168be7091f26b39e7c2aa3af0ecb589e1
3,1,782.9219408698332,779.3835695628964,779.3835695628964,2023-05-11 19:06:00,2023-05-11 19:06:11,17239059,Uniswap,ETH,DAI,0x8aa52fbf80fd05c22bd59844e2b7b8d8ee84195c85718c648e53c4515ea0f354,221977,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x993d8b9168be7091f26b39e7c2aa3af0ecb589e1
4,1,3.563830078125,3.5818549693166615,3.563830078125,2023-05-11 18:42:00,2023-05-11 18:42:35,17238943,Uniswap,USDC,ETH,0x21fa16feeb6b44982e5b985c442bff8742b636a9ef92cce77d7425fb99a15116,259570,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xc294456c73ac9ba72406a52bffc7899688099b90
4,1,3.563830078125,3.5818549693166615,3.563830078125,2023-05-11 18:42:00,2023-05-11 18:42:35,17238943,Uniswap,ETH,USDC,0x21fa16feeb6b44982e5b985c442bff8742b636a9ef92cce77d7425fb99a15116,259570,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xc294456c73ac9ba72406a52bffc7899688099b90
6,1,1298.6698556267597,1328.393582408805,1298.6698556267597,2023-05-11 18:28:00,2023-05-11 18:28:59,17238876,Uniswap,MKR,ETH,0x92d56f05302beae3b45994f58355be1fd7541030fddfdb9c327d1d6d78cbf0a4,127846,0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,0xd7e1236c08731c3632519dcd1a581bfe6876a3b2
6,1,1298.6698556267597,1328.393582408805,1298.6698556267597,2023-05-11 18:28:00,2023-05-11 18:28:59,17238876,Uniswap,ETH,MKR,0x92d56f05302beae3b45994f58355be1fd7541030fddfdb9c327d1d6d78cbf0a4,127846,0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,0xd7e1236c08731c3632519dcd1a581bfe6876a3b2
4,1,17.819150390624998,17.91050697077286,17.819150390624998,2023-05-11 18:26:00,2023-05-11 18:26:47,17238865,Uniswap,ETH,USDC,0x72223147028d76659073cb3401c5076f24ea9e0a7ceb8ff0154e9b728d9dc42b,259618,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x9e35c0e7e8a5874485bf1780f1cb6b08aa3abf12
4,1,17.819150390624998,17.91050697077286,17.819150390624998,2023-05-11 18:26:00,2023-05-11 18:26:47,17238865,Uniswap,USDC,ETH,0x72223147028d76659073cb3401c5076f24ea9e0a7ceb8ff0154e9b728d9dc42b,259618,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x9e35c0e7e8a5874485bf1780f1cb6b08aa3abf12
12,1,697.7561169171477,696.2660096871106,696.2660096871106,2023-05-11 18:05:00,2023-05-11 18:05:11,17238760,Uniswap,ETH,HEX,0x41303e6c008670b32c28796d98693c8e81f231234ed91bb71777977ef3890ebd,252670,0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,0xd7e1236c08731c3632519dcd1a581bfe6876a3b2
12,1,697.7561169171477,696.2660096871106,696.2660096871106,2023-05-11 18:05:00,2023-05-11 18:05:11,17238760,Uniswap,HEX,ETH,0x41303e6c008670b32c28796d98693c8e81f231234ed91bb71777977ef3890ebd,252670,0x24902aa0cf0000a08c0ea0b003b0c0bf600000e0,0xd7e1236c08731c3632519dcd1a581bfe6876a3b2
15,1,2221.502371056483,2211.456708819108,2211.456708819108,2023-05-11 17:34:00,2023-05-11 17:34:35,17238614,Uniswap,ETH,DAI,0xf2f3843961295b7ea0ae0561c11904a88ee3faafbd6a5982478c019931f49800,1302922,0xbac78d552a79aa10863c4ec1b0ff9effa41f6fac,0x4af2a528e1d35f99ec4c514ca807a957449960d4
