"balance";"duration";"age";"job";"marital";"education";"poutcome";"total_loan";"campaign";"pdays";"previous";"y"
-0.3341929500587968;-0.4642832056802233;0.0;0.0;0.0;0.0;0.0;0.0;1;-1;0;"no"
-0.46837504587843726;0.005012997288315762;1.0;1.0;1.0;0.0;0.0;1.0;1;-1;0;"no"
-0.38756425558705826;-0.4498876166321086;1.0;2.0;1.0;1.0;0.0;1.0;1;-1;0;"no"
-0.46897811147762664;-0.5679314468266491;1.0;3.0;2.0;2.0;0.0;0.0;1;-1;0;"no"
-0.5431551801779223;-0.35487672891455163;1.0;0.0;0.0;1.0;0.0;1.0;2;-1;0;"no"
-0.46897811147762664;-0.4383711453936168;2.0;4.0;2.0;1.0;0.0;1.0;1;-1;0;"no"
-0.47108884107478954;-0.03817376985602832;0.0;4.0;2.0;1.0;0.0;1.0;1;-1;0;"no"
-0.4400309627165357;0.6844848003593293;2.0;3.0;2.0;3.0;0.0;1.0;1;-1;0;"no"
-0.46897811147762664;-0.573689682445895;0.0;0.0;2.0;0.0;0.0;1.0;1;-1;0;"no"
-0.46897811147762664;-0.573689682445895;0.0;0.0;2.0;0.0;0.0;1.0;1;-1;0;"no"
-0.5000359898358805;-0.6715796879730749;0.0;5.0;0.0;1.0;0.0;0.0;1;-1;0;"no"
-0.37670907480164917;-1.0516232388433029;1.0;4.0;2.0;3.0;0.0;1.0;1;-1;0;"no"
-0.1707621726784706;1.2487918910454254;1.0;5.0;1.0;1.0;0.0;1.0;1;-1;0;"no"
-0.39389644437854693;-0.616876449590239;2.0;4.0;2.0;2.0;0.0;1.0;1;-1;0;"no"
-0.32243317087460355;-0.570810564636272;2.0;3.0;2.0;1.0;0.0;1.0;2;-1;0;"no"
-0.48013482506263044;-0.5909643893036326;2.0;1.0;1.0;1.0;0.0;2.0;1;-1;0;"no"
-0.6722112184044529;-0.34911849329530575;1.0;4.0;2.0;1.0;0.0;1.0;1;-1;0;"no"
-0.4234466587388273;-0.5420193865400427;1.0;5.0;2.0;0.0;0.0;1.0;1;-1;0;"no"
-0.4891808090504714;-0.04105288766565126;0.0;0.0;0.0;0.0;0.0;1.0;1;-1;0;"no"
-0.4611382586881645;-0.8616014634081889;1.0;4.0;2.0;1.0;0.0;1.0;1;-1;0;"no"
