roundId,price,startedAt,updatedAt,answeredInRound,pair,decimals
92233720368547771282,4639357085285,2021-12-31 22:55:11,2021-12-31 22:55:11,92233720368547771282,BTC / USD,8
92233720368547771283,4635816164458,2021-12-31 23:56:36,2021-12-31 23:56:36,92233720368547771283,BTC / USD,8
92233720368547771284,4661544706500,2022-01-01 00:42:51,2022-01-01 00:42:51,92233720368547771284,BTC / USD,8
92233720368547771285,4670395911240,2022-01-01 00:56:01,2022-01-01 00:56:01,92233720368547771285,BTC / USD,8
92233720368547771286,4669785530693,2022-01-01 01:07:03,2022-01-01 01:07:03,92233720368547771286,BTC / USD,8
92233720368547771287,4681102870874,2022-01-01 01:56:29,2022-01-01 01:56:29,92233720368547771287,BTC / USD,8
92233720368547771288,4679408685589,2022-01-01 02:09:26,2022-01-01 02:09:26,92233720368547771288,BTC / USD,8
92233720368547771289,4682111669697,2022-01-01 02:55:34,2022-01-01 02:55:34,92233720368547771289,BTC / USD,8
92233720368547771290,4686377000000,2022-01-01 03:55:36,2022-01-01 03:55:36,92233720368547771290,BTC / USD,8
92233720368547771291,4681144358273,2022-01-01 04:55:02,2022-01-01 04:55:02,92233720368547771291,BTC / USD,8
92233720368547771292,4680265583623,2022-01-01 05:06:39,2022-01-01 05:06:39,92233720368547771292,BTC / USD,8
92233720368547771293,4713985568080,2022-01-01 05:26:31,2022-01-01 05:26:31,92233720368547771293,BTC / USD,8
92233720368547771294,4739109000000,2022-01-01 05:29:20,2022-01-01 05:29:20,92233720368547771294,BTC / USD,8
92233720368547771295,4727478051744,2022-01-01 05:58:30,2022-01-01 05:58:30,92233720368547771295,BTC / USD,8
92233720368547771296,4728569079612,2022-01-01 06:10:50,2022-01-01 06:10:50,92233720368547771296,BTC / USD,8
92233720368547771297,4707802389961,2022-01-01 06:56:29,2022-01-01 06:56:29,92233720368547771297,BTC / USD,8
92233720368547771298,4712453532673,2022-01-01 07:55:10,2022-01-01 07:55:10,92233720368547771298,BTC / USD,8
92233720368547771299,4721000000000,2022-01-01 08:00:30,2022-01-01 08:00:30,92233720368547771299,BTC / USD,8
92233720368547771300,4718337000000,2022-01-01 08:55:24,2022-01-01 08:55:24,92233720368547771300,BTC / USD,8
92233720368547771301,4707300598240,2022-01-01 09:55:07,2022-01-01 09:55:07,92233720368547771301,BTC / USD,8
92233720368547771302,4683422926913,2022-01-01 10:36:20,2022-01-01 10:36:20,92233720368547771302,BTC / USD,8
92233720368547771303,4699571298062,2022-01-01 10:57:08,2022-01-01 10:57:08,92233720368547771303,BTC / USD,8
92233720368547771304,4692283257084,2022-01-01 11:56:38,2022-01-01 11:56:38,92233720368547771304,BTC / USD,8
92233720368547771305,4711464555551,2022-01-01 12:55:33,2022-01-01 12:55:33,92233720368547771305,BTC / USD,8
92233720368547771306,4701746983967,2022-01-01 13:55:56,2022-01-01 13:55:56,92233720368547771306,BTC / USD,8
92233720368547771307,4695703182353,2022-01-01 14:56:21,2022-01-01 14:56:21,92233720368547771307,BTC / USD,8
92233720368547771308,4725500692197,2022-01-01 15:37:03,2022-01-01 15:37:03,92233720368547771308,BTC / USD,8
92233720368547771309,4723054256056,2022-01-01 15:55:15,2022-01-01 15:55:15,92233720368547771309,BTC / USD,8
92233720368547771310,4747800000000,2022-01-01 16:29:52,2022-01-01 16:29:52,92233720368547771310,BTC / USD,8
92233720368547771311,4737382298202,2022-01-01 16:55:20,2022-01-01 16:55:20,92233720368547771311,BTC / USD,8
92233720368547771312,4762596380764,2022-01-01 17:40:53,2022-01-01 17:40:53,92233720368547771312,BTC / USD,8
92233720368547771313,4790832000000,2022-01-01 17:46:21,2022-01-01 17:46:21,92233720368547771313,BTC / USD,8
92233720368547771314,4780151295686,2022-01-01 17:55:44,2022-01-01 17:55:44,92233720368547771314,BTC / USD,8
92233720368547771315,4755314580574,2022-01-01 18:37:54,2022-01-01 18:37:54,92233720368547771315,BTC / USD,8
92233720368547771316,4755200000000,2022-01-01 18:55:47,2022-01-01 18:55:47,92233720368547771316,BTC / USD,8
92233720368547771317,4756448542031,2022-01-01 19:02:20,2022-01-01 19:02:20,92233720368547771317,BTC / USD,8
92233720368547771318,4735800000000,2022-01-01 19:56:42,2022-01-01 19:56:42,92233720368547771318,BTC / USD,8
92233720368547771319,4735800000000,2022-01-01 19:58:17,2022-01-01 19:58:17,92233720368547771319,BTC / USD,8
92233720368547771320,4741511142370,2022-01-01 20:55:48,2022-01-01 20:55:48,92233720368547771320,BTC / USD,8
92233720368547771321,4733365922871,2022-01-01 21:55:28,2022-01-01 21:55:28,92233720368547771321,BTC / USD,8
92233720368547771322,4746879844596,2022-01-01 22:55:22,2022-01-01 22:55:22,92233720368547771322,BTC / USD,8
92233720368547771323,4761378016546,2022-01-01 23:55:33,2022-01-01 23:55:33,92233720368547771323,BTC / USD,8
92233720368547771324,4765844494615,2022-01-02 00:56:00,2022-01-02 00:56:00,92233720368547771324,BTC / USD,8
92233720368547771325,4765569106203,2022-01-02 00:56:52,2022-01-02 00:56:52,92233720368547771325,BTC / USD,8
92233720368547771326,4740558000000,2022-01-02 01:39:56,2022-01-02 01:39:56,92233720368547771326,BTC / USD,8
92233720368547771327,4737300000000,2022-01-02 01:55:12,2022-01-02 01:55:12,92233720368547771327,BTC / USD,8
92233720368547771328,4741084302866,2022-01-02 02:55:40,2022-01-02 02:55:40,92233720368547771328,BTC / USD,8
92233720368547771329,4736184981300,2022-01-02 03:55:05,2022-01-02 03:55:05,92233720368547771329,BTC / USD,8
92233720368547771330,4706246317514,2022-01-02 04:49:19,2022-01-02 04:49:19,92233720368547771330,BTC / USD,8
92233720368547771331,4688700000000,2022-01-02 04:57:08,2022-01-02 04:57:08,92233720368547771331,BTC / USD,8
92233720368547771332,4688700000000,2022-01-02 05:10:14,2022-01-02 05:10:14,92233720368547771332,BTC / USD,8
92233720368547771333,4703785000000,2022-01-02 05:56:17,2022-01-02 05:56:17,92233720368547771333,BTC / USD,8
92233720368547771334,4718695437023,2022-01-02 06:56:21,2022-01-02 06:56:21,92233720368547771334,BTC / USD,8
92233720368547771335,4717463472288,2022-01-02 07:58:01,2022-01-02 07:58:01,92233720368547771335,BTC / USD,8
92233720368547771336,4718598583894,2022-01-02 08:00:20,2022-01-02 08:00:20,92233720368547771336,BTC / USD,8
92233720368547771337,4723077000000,2022-01-02 08:55:17,2022-01-02 08:55:17,92233720368547771337,BTC / USD,8
92233720368547771338,4736384067381,2022-01-02 09:55:17,2022-01-02 09:55:17,92233720368547771338,BTC / USD,8
92233720368547771339,4727244285780,2022-01-02 10:55:19,2022-01-02 10:55:19,92233720368547771339,BTC / USD,8
92233720368547771340,4726028207542,2022-01-02 11:55:41,2022-01-02 11:55:41,92233720368547771340,BTC / USD,8
92233720368547771341,4736737130072,2022-01-02 12:55:51,2022-01-02 12:55:51,92233720368547771341,BTC / USD,8
92233720368547771342,4716743677812,2022-01-02 13:55:22,2022-01-02 13:55:22,92233720368547771342,BTC / USD,8
92233720368547771343,4715395809120,2022-01-02 14:55:16,2022-01-02 14:55:16,92233720368547771343,BTC / USD,8
92233720368547771344,4736357655260,2022-01-02 15:55:27,2022-01-02 15:55:27,92233720368547771344,BTC / USD,8
92233720368547771345,4761222076198,2022-01-02 16:37:23,2022-01-02 16:37:23,92233720368547771345,BTC / USD,8
92233720368547771346,4776400000000,2022-01-02 16:59:34,2022-01-02 16:59:34,92233720368547771346,BTC / USD,8
92233720368547771347,4777544973726,2022-01-02 17:15:55,2022-01-02 17:15:55,92233720368547771347,BTC / USD,8
92233720368547771348,4750224000000,2022-01-02 17:51:01,2022-01-02 17:51:01,92233720368547771348,BTC / USD,8
92233720368547771349,4744518648901,2022-01-02 17:55:46,2022-01-02 17:55:46,92233720368547771349,BTC / USD,8
92233720368547771350,4720667176854,2022-01-02 18:25:30,2022-01-02 18:25:30,92233720368547771350,BTC / USD,8
92233720368547771351,4695400000000,2022-01-02 18:33:36,2022-01-02 18:33:36,92233720368547771351,BTC / USD,8
92233720368547771352,4694949248404,2022-01-02 18:48:48,2022-01-02 18:48:48,92233720368547771352,BTC / USD,8
92233720368547771353,4699600000000,2022-01-02 18:56:37,2022-01-02 18:56:37,92233720368547771353,BTC / USD,8
92233720368547771354,4698173550892,2022-01-02 19:03:16,2022-01-02 19:03:16,92233720368547771354,BTC / USD,8
92233720368547771355,4698841804968,2022-01-02 19:55:13,2022-01-02 19:55:13,92233720368547771355,BTC / USD,8
92233720368547771356,4703756201857,2022-01-02 20:55:52,2022-01-02 20:55:52,92233720368547771356,BTC / USD,8
92233720368547771357,4705543796378,2022-01-02 21:56:09,2022-01-02 21:56:09,92233720368547771357,BTC / USD,8
92233720368547771358,4731100000000,2022-01-02 22:39:18,2022-01-02 22:39:18,92233720368547771358,BTC / USD,8
92233720368547771359,4730305000000,2022-01-02 22:56:11,2022-01-02 22:56:11,92233720368547771359,BTC / USD,8
92233720368547771360,4735699132318,2022-01-02 23:55:53,2022-01-02 23:55:53,92233720368547771360,BTC / USD,8
92233720368547771361,4718450047172,2022-01-03 00:55:09,2022-01-03 00:55:09,92233720368547771361,BTC / USD,8
92233720368547771362,4705657138834,2022-01-03 01:55:18,2022-01-03 01:55:18,92233720368547771362,BTC / USD,8
92233720368547771363,4694887424354,2022-01-03 02:55:20,2022-01-03 02:55:20,92233720368547771363,BTC / USD,8
92233720368547771364,4684116000000,2022-01-03 03:56:19,2022-01-03 03:56:19,92233720368547771364,BTC / USD,8
92233720368547771365,4688457925488,2022-01-03 04:55:05,2022-01-03 04:55:05,92233720368547771365,BTC / USD,8
92233720368547771366,4712272330284,2022-01-03 05:41:34,2022-01-03 05:41:34,92233720368547771366,BTC / USD,8
92233720368547771367,4708977000000,2022-01-03 05:55:04,2022-01-03 05:55:04,92233720368547771367,BTC / USD,8
92233720368547771368,4701730929210,2022-01-03 06:55:14,2022-01-03 06:55:14,92233720368547771368,BTC / USD,8
92233720368547771369,4704900000000,2022-01-03 07:55:05,2022-01-03 07:55:05,92233720368547771369,BTC / USD,8
92233720368547771370,4707020513154,2022-01-03 08:01:17,2022-01-03 08:01:17,92233720368547771370,BTC / USD,8
92233720368547771371,4697406388046,2022-01-03 08:56:49,2022-01-03 08:56:49,92233720368547771371,BTC / USD,8
92233720368547771372,4698397004211,2022-01-03 09:56:17,2022-01-03 09:56:17,92233720368547771372,BTC / USD,8
92233720368547771373,4697982299734,2022-01-03 09:56:44,2022-01-03 09:56:44,92233720368547771373,BTC / USD,8
92233720368547771374,4721530013349,2022-01-03 10:49:27,2022-01-03 10:49:27,92233720368547771374,BTC / USD,8
92233720368547771375,4716862137870,2022-01-03 10:56:03,2022-01-03 10:56:03,92233720368547771375,BTC / USD,8
92233720368547771376,4732423000000,2022-01-03 11:55:34,2022-01-03 11:55:34,92233720368547771376,BTC / USD,8
